25 mF capacitor,,,
Time (s),Potential (V),Current (A),Resistance (Ohms)
1.58,0.7816314697,0.03416061401,22.88107203
1.59,0.7633209229,0.03385543823,22.54647887
1.6,0.7480621338,0.03355026245,22.29675952
1.61,0.7390975952,0.03293991089,22.43775333
1.62,0.7238388062,0.03263473511,22.18001169
1.63,0.7177352905,0.03202438354,22.41215009
1.64,0.7024765015,0.03202438354,21.935676
1.65,0.6963729858,0.03141403198,22.16757741
1.66,0.6813049316,0.0311088562,21.90067443
1.67,0.6721496582,0.03080368042,21.82043344
1.68,0.659942627,0.03049850464,21.63852408
1.69,0.6477355957,0.02990722656,21.65816327
1.7,0.6385803223,0.02960205078,21.57216495
1.71,0.6296157837,0.029296875,21.49088542
1.72,0.6174087524,0.02899169922,21.29605263
1.73,0.608253479,0.02868652344,21.20345745
1.74,0.5990982056,0.02807617188,21.33831522
1.75,0.5899429321,0.02807617188,21.01222826
1.76,0.5809783936,0.02746582031,21.15277778
1.77,0.5687713623,0.02716064453,20.94101124
1.78,0.5626678467,0.02685546875,20.95170455
1.79,0.5504608154,0.02655029297,20.73275862
1.8,0.541305542,0.02624511719,20.625
1.81,0.5321502686,0.02593994141,20.51470588
1.82,0.52318573,0.02532958984,20.65512048
1.83,0.5140304565,0.02532958984,20.2936747
1.84,0.5048751831,0.02473831177,20.40863531
1.85,0.4957199097,0.02443313599,20.28883685
1.86,0.4865646362,0.02412796021,20.16600791
1.87,0.4774093628,0.02382278442,20.04003203
1.88,0.471496582,0.02321243286,20.31224322
1.89,0.4592895508,0.02321243286,19.7863599
1.9,0.4531860352,0.02290725708,19.78351374
1.91,0.4470825195,0.0226020813,19.78059072
1.92,0.4409790039,0.02199172974,20.05203816
1.93,0.4287719727,0.02199172974,19.49696444
1.94,0.422668457,0.02138137817,19.76806423
1.95,0.4167556763,0.02138137817,19.49152542
1.96,0.4076004028,0.02107620239,19.33936652
1.97,0.404548645,0.02077102661,19.47658402
1.98,0.3953933716,0.02046585083,19.31966449
1.99,0.389289856,0.01985549927,19.60614793
2,0.3770828247,0.01985549927,18.99135447
2.01,0.3709793091,0.01956939697,18.95711501
2.02,0.3650665283,0.01956939697,18.65497076
2.03,0.3589630127,0.01895904541,18.93360161
2.04,0.3498077393,0.01895904541,18.45070423
2.05,0.3437042236,0.01865386963,18.42535787
2.06,0.337600708,0.01834869385,18.3991684
2.07,0.3345489502,0.01804351807,18.54122622
2.08,0.3284454346,0.01804351807,18.20295983
2.09,0.3192901611,0.0174331665,18.31509847
2.1,0.3131866455,0.0174331665,17.96498906
2.11,0.3072738647,0.01712799072,17.93986637
2.12,0.3042221069,0.01682281494,18.08390023
2.13,0.2981185913,0.01651763916,18.04849885
2.14,0.2950668335,0.01621246338,18.2
2.15,0.2889633179,0.01621246338,17.82352941
2.16,0.2828598022,0.0159072876,17.78177458
2.17,0.2767562866,0.01560211182,17.73838631
2.18,0.2737045288,0.01560211182,17.54278729
2.19,0.270652771,0.01529693604,17.69326683
2.2,0.2614974976,0.01499176025,17.44274809
2.21,0.2586364746,0.01468658447,17.61038961
2.22,0.252532959,0.01468658447,17.19480519
2.23,0.2464294434,0.01440048218,17.11258278
2.24,0.2433776855,0.0140953064,17.26657645
2.25,0.2372741699,0.01379013062,17.20608575
2.26,0.2342224121,0.01379013062,16.98478562
2.27,0.2311706543,0.01348495483,17.14285714
2.28,0.2250671387,0.01317977905,17.07670043
2.29,0.2220153809,0.01317977905,16.84515195
2.3,0.2159118652,0.01287460327,16.77037037
2.31,0.2128601074,0.01256942749,16.93474962
2.32,0.2067565918,0.01256942749,16.4491654
2.33,0.200843811,0.01256942749,15.97875569
2.34,0.200843811,0.01226425171,16.37636081
2.35,0.1947402954,0.01195907593,16.28389155
2.36,0.1916885376,0.01165390015,16.44844517
2.37,0.1886367798,0.01134872437,16.62184874
2.38,0.1825332642,0.01134872437,16.08403361
2.39,0.1825332642,0.01104354858,16.52849741
2.4,0.1764297485,0.01104354858,15.97582038
2.41,0.1733779907,0.0107383728,16.14564831
2.42,0.1672744751,0.0107383728,15.57726465
2.43,0.1642227173,0.01043319702,15.74040219
2.44,0.1611709595,0.01043319702,15.44789762
2.45,0.1581192017,0.009822845459,16.09708738
2.46,0.1550674438,0.009822845459,15.78640777
2.47,0.1550674438,0.009822845459,15.78640777
2.48,0.1491546631,0.009517669678,15.67134269
2.49,0.1461029053,0.009231567383,15.82644628
2.5,0.1430511475,0.009517669678,15.03006012
2.51,0.1430511475,0.009231567383,15.49586777
2.52,0.1399993896,0.008926391602,15.68376068
2.53,0.1369476318,0.008926391602,15.34188034
2.54,0.133895874,0.00862121582,15.53097345
2.55,0.1277923584,0.00862121582,14.82300885
2.56,0.1277923584,0.00862121582,14.82300885
2.57,0.1247406006,0.008316040039,15
2.58,0.1216888428,0.008316040039,14.63302752
2.59,0.118637085,0.008010864258,14.80952381
2.6,0.1155853271,0.007705688477,15
2.61,0.1155853271,0.007705688477,15
2.62,0.1125335693,0.007705688477,14.6039604
2.63,0.1094818115,0.007705688477,14.20792079
2.64,0.1094818115,0.007705688477,14.20792079
2.65,0.1094818115,0.007400512695,14.79381443
2.66,0.1033782959,0.007400512695,13.96907216
2.67,0.1033782959,0.007095336914,14.56989247
2.68,0.1003265381,0.007095336914,14.13978495
2.69,0.09746551514,0.006790161133,14.35393258
2.7,0.09441375732,0.006790161133,13.90449438
2.71,0.09746551514,0.006484985352,15.02941176
2.72,0.09136199951,0.006484985352,14.08823529
2.73,0.0883102417,0.006484985352,13.61764706
2.74,0.0883102417,0.006484985352,13.61764706
2.75,0.0883102417,0.006484985352,13.61764706
2.76,0.08525848389,0.00617980957,13.7962963
2.77,0.08220672607,0.00617980957,13.30246914
2.78,0.07915496826,0.005874633789,13.47402597
2.79,0.07915496826,0.005874633789,13.47402597
2.8,0.07915496826,0.005874633789,13.47402597
2.81,0.07610321045,0.005569458008,13.66438356
2.82,0.07610321045,0.005569458008,13.66438356
2.83,0.07305145264,0.005569458008,13.11643836
2.84,0.07305145264,0.005264282227,13.87681159
2.85,0.06999969482,0.005264282227,13.29710145
2.86,0.06999969482,0.005264282227,13.29710145
2.87,0.06694793701,0.005264282227,12.7173913
2.88,0.06694793701,0.004959106445,13.5
2.89,0.0638961792,0.004959106445,12.88461538
2.9,0.0638961792,0.004959106445,12.88461538
2.91,0.0638961792,0.004959106445,12.88461538
2.92,0.06084442139,0.004653930664,13.07377049
2.93,0.06084442139,0.004653930664,13.07377049
2.94,0.05779266357,0.004653930664,12.41803279
2.95,0.05779266357,0.004348754883,13.28947368
2.96,0.05474090576,0.004348754883,12.5877193
2.97,0.05474090576,0.004062652588,13.4741784
2.98,0.05168914795,0.004348754883,11.88596491
2.99,0.05168914795,0.004062652588,12.72300469
3,0.05168914795,0.004348754883,11.88596491
3.01,0.05168914795,0.004062652588,12.72300469
3.02,0.04558563232,0.004062652588,11.22065728
3.03,0.04558563232,0.003757476807,12.1319797
3.04,0.04558563232,0.004062652588,11.22065728
3.05,0.04558563232,0.003757476807,12.1319797
3.06,0.04558563232,0.003757476807,12.1319797
3.07,0.04272460938,0.003757476807,11.37055838
3.08,0.04272460938,0.003757476807,11.37055838
3.09,0.03967285156,0.003757476807,10.55837563
3.1,0.03967285156,0.003452301025,11.49171271
3.11,0.03967285156,0.003757476807,10.55837563
3.12,0.03967285156,0.003452301025,11.49171271
3.13,0.03967285156,0.003452301025,11.49171271
3.14,0.03662109375,0.003452301025,10.60773481
3.15,0.03967285156,0.003452301025,11.49171271
3.16,0.03662109375,0.003452301025,10.60773481
3.17,0.03662109375,0.003147125244,11.63636364
3.18,0.03356933594,0.003147125244,10.66666667
3.19,0.03662109375,0.003147125244,11.63636364
3.2,0.03051757813,0.002841949463,10.73825503
3.21,0.03356933594,0.002841949463,11.81208054
3.22,0.03051757813,0.003147125244,9.696969697
3.23,0.03051757813,0.002841949463,10.73825503
3.24,0.03051757813,0.002841949463,10.73825503
3.25,0.03051757813,0.002841949463,10.73825503
3.26,0.03051757813,0.002841949463,10.73825503
3.27,0.02746582031,0.002841949463,9.66442953
3.28,0.02746582031,0.002841949463,9.66442953
3.29,0.02746582031,0.002841949463,9.66442953
3.3,0.02746582031,0.002536773682,10.82706767
3.31,0.0244140625,0.002841949463,8.590604027
3.32,0.0244140625,0.002536773682,9.62406015
3.33,0.0244140625,0.002536773682,9.62406015
3.34,0.0244140625,0.002536773682,9.62406015
3.35,0.02136230469,0.002536773682,8.421052632
3.36,0.02136230469,0.002536773682,8.421052632
3.37,0.02136230469,0.002536773682,8.421052632
3.38,0.02136230469,0.002536773682,8.421052632
3.39,0.02136230469,0.0022315979,9.572649573
3.4,0.02136230469,0.0022315979,9.572649573
3.41,0.01831054688,0.002536773682,7.218045113
3.42,0.01831054688,0.0022315979,8.205128205
3.43,0.01831054688,0.001926422119,9.504950495
3.44,0.01831054688,0.0022315979,8.205128205
3.45,0.01831054688,0.0022315979,8.205128205
3.46,0.01525878906,0.0022315979,6.837606838
3.47,0.01831054688,0.001926422119,9.504950495
3.48,0.01525878906,0.001926422119,7.920792079
3.49,0.01525878906,0.001926422119,7.920792079
3.5,0.01525878906,0.001926422119,7.920792079
3.51,0.01525878906,0.001926422119,7.920792079
3.52,0.01525878906,0.001926422119,7.920792079
3.53,0.01220703125,0.001926422119,6.336633663
3.54,0.01525878906,0.001621246338,9.411764706
3.55,0.01525878906,0.001621246338,9.411764706
3.56,0.01525878906,0.001621246338,9.411764706
3.57,0.01220703125,0.001926422119,6.336633663
3.58,0.01525878906,0.001621246338,9.411764706
3.59,0.01525878906,0.001621246338,9.411764706
3.6,0.01220703125,0.001621246338,7.529411765
3.61,0.01220703125,0.001621246338,7.529411765
3.62,0.01220703125,0.001621246338,7.529411765
3.63,0.01220703125,0.001621246338,7.529411765
3.64,0.009155273438,0.001621246338,5.647058824
3.65,0.01220703125,0.001316070557,9.275362319
3.66,0.01220703125,0.001621246338,7.529411765
3.67,0.009155273438,0.001621246338,5.647058824
3.68,0.01220703125,0.001621246338,7.529411765
3.69,0.01220703125,0.001621246338,7.529411765
3.7,0.01220703125,0.001621246338,7.529411765
