# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.144000,0.000878,-0.184214,0.348283
0.145000,0.002426,-0.176179,0.874179
0.146000,0.004039,-0.166300,1.403693
0.147000,0.005389,-0.155697,1.924655
0.148000,0.006772,-0.144403,2.422266
0.149000,0.008221,-0.132153,2.924481
0.150000,0.010889,-0.119542,3.410251
0.151000,0.011086,-0.105580,3.899968
0.152000,0.012502,-0.091388,4.380804
0.153000,0.014017,-0.075812,4.854734
0.154000,0.015367,-0.060237,5.321428
0.155000,0.016816,-0.044135,5.775296
0.156000,0.018034,-0.027440,6.218310
0.157000,0.019121,-0.010449,6.638960
0.158000,0.020109,0.006970,7.041522
0.159000,0.020965,0.024225,7.415141
0.160000,0.021821,0.041183,7.761791
0.161000,0.022677,0.057878,8.059437
0.162000,0.022940,0.074210,8.311696
0.163000,0.023138,0.089983,8.526791
0.164000,0.023336,0.105229,8.707023
0.165000,0.023500,0.120145,8.857984
0.166000,0.023599,0.134766,8.968820
0.167000,0.023368,0.148398,9.028678
0.168000,0.023336,0.161569,9.042492
0.169000,0.022940,0.173917,9.010260
0.170000,0.022842,0.185607,8.933629
0.171000,0.022315,0.196737,8.814570
0.172000,0.021788,0.206747,8.654729
0.173000,0.020998,0.217021,8.460026
0.174000,0.020372,0.226340,8.226185
0.175000,0.019746,0.234605,7.951232
0.176000,0.019055,0.242507,7.671346
0.177000,0.018166,0.249686,7.352323
0.178000,0.017244,0.255843,7.006988
0.179000,0.016256,0.261375,6.638632
0.180000,0.015334,0.266545,6.253173
0.181000,0.014346,0.270332,5.845678
0.182000,0.013523,0.273921,5.428975
0.183000,0.012502,0.276391,4.987605
0.184000,0.011284,0.278136,4.535382
0.185000,0.010296,0.278893,4.080528
0.186000,0.009275,0.279091,3.616136
0.187000,0.008155,0.278498,3.137930
0.188000,0.006937,0.276753,2.656436
0.189000,0.005686,0.274876,2.172639
0.190000,0.004665,0.271451,1.677988
0.191000,0.003282,0.267698,1.189257
0.192000,0.001537,0.262330,0.684409
0.193000,0.000483,0.254691,0.185153
0.194000,-0.002217,0.247249,-0.326273
0.195000,-0.001097,0.238457,-0.845922
0.196000,-0.004094,0.230719,-1.372479
0.197000,-0.005246,0.220511,-1.887196
0.198000,-0.006761,0.209414,-2.389416
0.199000,-0.008342,0.197165,-2.887691
0.200000,-0.009626,0.184389,-3.376099
0.201000,-0.011239,0.170658,-3.863851
0.202000,-0.012622,0.157091,-4.340421
0.203000,-0.013907,0.141055,-4.817321
0.204000,-0.015355,0.125480,-5.282382
0.205000,-0.016574,0.108917,-5.737577
0.206000,-0.017891,0.092650,-6.178631
0.207000,-0.019175,0.075428,-6.600280
0.208000,-0.020064,0.058404,-7.003841
0.209000,-0.021217,0.041446,-7.377144
0.210000,-0.021974,0.024258,-7.724794
0.211000,-0.022567,0.007530,-8.035278
0.212000,-0.022995,-0.009033,-8.308268
0.213000,-0.023258,-0.025102,-8.541789
0.214000,-0.023489,-0.040480,-8.731896
0.215000,-0.023621,-0.055825,-8.880890
0.216000,-0.023719,-0.070247,-8.982193
0.217000,-0.023653,-0.084045,-9.038106
0.218000,-0.023357,-0.097051,-9.050934
0.219000,-0.022995,-0.109597,-9.015083
0.220000,-0.022600,-0.121386,-8.940093
0.221000,-0.022172,-0.132351,-8.820700
0.222000,-0.021842,-0.142658,-8.662168
0.223000,-0.021250,-0.152437,-8.468444
0.224000,-0.020591,-0.161657,-8.234922
0.225000,-0.019933,-0.169890,-7.977062
0.226000,-0.018945,-0.177760,-7.680392
0.227000,-0.018319,-0.184872,-7.366619
0.228000,-0.017463,-0.191590,-7.017984
0.229000,-0.016409,-0.196924,-6.655536
0.230000,-0.015586,-0.202094,-6.268420
0.231000,-0.014532,-0.206210,-5.865848
0.232000,-0.013479,-0.209700,-5.447818
0.233000,-0.012655,-0.212335,-5.010055
0.234000,-0.011635,-0.214475,-4.567360
0.235000,-0.010548,-0.215199,-4.104932
0.236000,-0.009560,-0.215134,-3.612246
0.237000,-0.008309,-0.214376,-3.162318
0.238000,-0.006959,-0.212730,-2.686408
0.239000,-0.005773,-0.210721,-2.198329
0.240000,-0.004588,-0.207494,-1.708607
0.241000,-0.003205,-0.203543,-1.214611
0.242000,-0.001987,-0.197122,-0.711077
0.243000,-0.001526,-0.191820,-0.212806
0.244000,0.000549,-0.185201,0.301909
0.245000,0.002228,-0.176409,0.825504
0.246000,0.004006,-0.167091,1.355675
0.247000,0.005422,-0.156850,1.870717
