# Seconds,Charge (C)
0.124,-0.00283295061
0.125,-0.00298265832
0.126,-0.003118588392
0.127,-0.0032367346859999997
0.128,-0.003352024428
0.129,-0.0034409259
0.13,-0.003535557894
0.131,-0.0036003702719999997
0.132,-0.003670913172
0.133,-0.003701882376
0.134,-0.003727695852
0.135,-0.00374260566
0.136,-0.003747778806
0.137,-0.003736300344
0.138,-0.00371221125
0.139,-0.003671487966
0.14,-0.003613555698
0.141,-0.003536707482
0.142,-0.003413388042
0.143,-0.00334112076
0.144,-0.0032086394519999996
0.145,-0.003068685822
0.146,-0.0028966134
0.147,-0.002711930346
0.148,-0.002515211454
0.149,-0.002301840954
0.15,-0.0020821825559999996
0.151,-0.0018389924399999998
0.152,-0.0015917961839999998
0.153,-0.0013204934160000001
0.154,-0.001049208066
0.155,-0.00076874343
0.156,-0.00047794992
0.157,-0.000182000682
0.158,0.00012140346
0.159,0.00042195104999999996
0.16,0.000717325494
0.161,0.001008119004
0.162,0.00129258978
0.163,0.001567323894
0.164,0.001832878722
0.165,0.00209268561
0.166,0.002347354188
0.167,0.002584796364
0.168,0.0028142088419999996
0.169,0.0030292863059999996
0.17,0.003232902726
0.171,0.0034267650659999998
0.172,0.0036011192459999997
0.173,0.003780071778
0.174,0.00394239012
0.175,0.00408634989
0.176,0.004223986926
0.177,0.004349030748
0.178,0.0044562733739999996
0.179,0.00455262975
0.18,0.004642680809999999
0.181,0.004708642776
0.182,0.0047711559780000004
0.183,0.004814178438
0.184,0.004844572847999999
0.185,0.004857758274
0.186,0.004861207037999999
0.187,0.0048508781640000005
0.188,0.004820483754
0.189,0.004787790168
0.19,0.0047281335179999995
0.191,0.004662763764
0.192,0.00456926394
0.193,0.004436207838
0.194,0.004306583082
0.195,0.004153444026
0.196,0.004018663542
0.197,0.003840860598
0.198,0.0036475730519999997
0.199,0.00343421997
0.2,0.0032116876019999997
0.201,0.002972521044
0.202,0.002736211038
0.203,0.00245689599
0.204,0.00218561064
0.205,0.001897116306
0.206,0.0016137776999999999
0.207,0.0013138049039999999
0.208,0.001017280872
0.209,0.0007219064279999999
0.21,0.00042252584399999997
0.211,0.00013115754
0.212,-0.00015733679399999997
0.213,-0.000437226636
0.214,-0.00070508064
0.215,-0.00097235985
0.216,-0.001223562246
0.217,-0.0014638958099999998
0.218,-0.001690434318
0.219,-0.001908960546
0.22,-0.0021143013479999998
0.221,-0.002305289718
0.222,-0.002484817044
0.223,-0.0026551476659999996
0.224,-0.0028157416259999997
0.225,-0.0029591440200000003
0.226,-0.00309622368
0.227,-0.0032201004960000002
0.228,-0.00333711462
0.229,-0.0034300222319999995
0.23,-0.003520073292
0.231,-0.00359176578
0.232,-0.0036525546
0.233,-0.0036984510299999996
0.234,-0.00373572555
0.235,-0.003748336182
0.236,-0.0037472040119999996
0.237,-0.003734001168
0.238,-0.00370533114
0.239,-0.0036703383779999998
0.24,-0.003614130492
0.241,-0.003545311974
0.242,-0.0034334709959999996
0.243,-0.00334112076
0.244,-0.003225831018
0.245,-0.0030726919620000003
0.246,-0.002910391038
0.247,-0.0027320133
0.248,-0.0025421571
0.249,-0.002328804018
0.25,-0.002106846444
0.251,-0.001865938086
0.252,-0.001615310484
0.253,-0.00134458251
0.254,-0.0010807520639999999
0.255,-0.000785952414
0.256,-0.0004997572559999999
0.257,-0.000207239364
0.258,9.788916e-05
0.259,0.000394987986
0.26,0.0006932364
0.261,0.000977707176
0.262,0.0012633449579999999
0.263,0.001531181544
0.264,0.0018001851359999998
0.265,0.002061716406
0.266,0.0023186667419999997
0.267,0.002559557682
0.268,0.002796442482
0.269,0.0030138017039999998
0.27,0.00322372344
0.271,0.003413004846
0.272,0.003597113106
0.273,0.003768593316
0.274,0.00392976207
0.275,0.004078320192
0.276,0.004208502324
0.277,0.00433412094
0.278,0.004440213978
0.279,0.004542893088
0.28,0.00462892059
0.281,0.004707493188
0.282,0.004770581184
0.283,0.004818184578
0.284,0.004849153782
0.285,0.0048663627659999995
0.286,0.00487381767
0.287,0.004854901722
0.288,0.00483366918
0.289,0.004794670278
0.29,0.004737887598
0.291,0.004665045521999999
0.292,0.004574437085999999
0.293,0.004462021314
0.294,0.004360491792
0.295,0.004169503422
0.296,0.004039303872
0.297,0.0038672488679999998
0.298,0.003671087352
0.299,0.003461183034
0.3,0.0032455133579999997
0.301,0.003009795564
0.302,0.002760300132
0.303,0.002492446128
0.304,0.0022217355719999997
0.305,0.001933241238
0.306,0.001641315558
0.307,0.0013476480779999998
0.308,0.001045968318
0.309,0.0007465703159999999
0.31,0.000454069842
0.311,0.000162126744
0.312,-0.00011891268599999999
0.313,-0.00040110170399999996
0.314,-0.000672387054
0.315,-0.0009367922939999999
0.316,-0.001187437314
0.317,-0.001426029078
0.318,-0.001660039908
0.319,-0.00187626696
0.32,-0.002087338284
0.321,-0.0022834998
0.322,-0.0024710394059999996
0.323,-0.0026396630639999997
0.324,-0.002803130994
0.325,-0.00294938994
0.326,-0.00308359563
0.327,-0.003206340276
0.328,-0.003315307284
0.329,-0.003416836806
0.33,-0.003503439102
0.331,-0.003573407208
0.332,-0.003633638652
0.333,-0.0036886969499999997
0.334,-0.0037213905360000002
0.335,-0.003739749108
0.336,-0.0037466292179999996
0.337,-0.00374260566
0.338,-0.0037167921839999997
0.339,-0.00367894287
0.34,-0.003629615094
0.341,-0.003555048636
0.342,-0.0035407136219999997
0.343,-0.003332516268
0.344,-0.003238459068
0.345,-0.0030893261519999997
0.346,-0.002920702494
0.347,-0.002745198726
0.348,-0.002559366084
0.349,-0.002352318318
0.35,-0.002129211156
0.351,-0.0018791409299999998
0.352,-0.001647429276
0.353,-0.0013853057940000002
0.354,-0.0011134456499999998
0.355,-0.0008329810139999999
0.356,-0.0005347326
0.357,-0.000236484186
0.358,5.9465051999999996e-05
0.359,0.00036229439999999996
0.36,0.000659393226
0.361,0.000955917258
0.362,0.0012369566879999998
0.363,0.0015105412139999998
0.364,0.0017766708359999999
0.365,0.002039351694
0.366,0.00229630203
0.367,0.0025406243159999996
0.368,0.002760874926
0.369,0.0029839820879999997
0.37,0.0031893228899999996
0.371,0.0033889157519999998
0.372,0.003574730976
0.373,0.003750234744
0.374,0.003913702674
0.375,0.004060536414
0.376,0.004198765662
0.377,0.004327223412
0.378,0.004441363566000001
0.379,0.004538294736
0.38,0.004625471825999999
0.381,0.00469658952
0.382,0.004760827104
0.383,0.0048078557039999996
0.384,0.004841124084
0.385,0.004856033892
0.386,0.004872093288
0.387,0.0048640635899999994
0.388,0.004838267532
0.389,0.004808430498
0.39,0.004748216472
0.391,0.004686852858
0.392,0.004584748541999999
0.393,0.004490116548
0.394,0.0043616413800000005
0.395,0.0042624284519999995
0.396,0.004051357128
0.397,0.003880434294
0.398,0.0036969008279999997
0.399,0.003489853062
0.4,0.003269602452
0.401,0.003034459452
0.402,0.002787263196
0.403,0.002529163272
0.404,0.00225902751
0.405,0.00197511411
0.406,0.0016843205999999998
0.407,0.001391245332
0.408,0.001092422124
0.409,0.0007941737099999999
0.41,0.000494218332
0.411,0.000199976058
0.412,-9.0242658e-05
0.413,-0.000369557706
0.414,-0.000646573578
0.415,-0.00090582309
0.416,-0.0011576176980000001
0.417,-0.0014025147779999998
0.418,-0.001634801226
0.419,-0.001853902248
0.42,-0.002054644698
0.421,-0.002253087972
0.422,-0.002437196232
0.423,-0.0026121426239999997
0.424,-0.002772736584
0.425,-0.002928157398
0.426,-0.003064662264
0.427,-0.0031931374319999995
0.428,-0.003306127998
0.429,-0.0034065079319999998
0.43,-0.0035441623859999998
0.431,-0.0035688262739999995
0.432,-0.00363592041
0.433,-0.0036823916339999998
0.434,-0.0037213905360000002
0.435,-0.0037345759619999996
0.436,-0.0037374499319999996
0.437,-0.003732276786
0.438,-0.0037167921839999997
0.439,-0.003717941772
0.44,-0.003625608954
0.441,-0.003563653128
0.442,-0.0034437824519999998
0.443,-0.003370940376
0.444,-0.003244764384
0.445,-0.003103678584
0.446,-0.00295627005
0.447,-0.002768713026
0.448,-0.0025782994499999995
0.449,-0.002368952508
0.45,-0.0021481271039999997
