# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.000000,0.021557,0.129899,9.572665
0.001000,0.021327,0.143384,9.533855
0.002000,0.020998,0.155882,9.482219
0.003000,0.020800,0.169366,9.422032
0.004000,0.020602,0.181864,9.339152
0.005000,0.020372,0.194362,9.264822
0.006000,0.020306,0.207189,9.172075
0.007000,0.019977,0.219358,9.075052
0.008000,0.019549,0.231527,8.960927
0.009000,0.019252,0.243038,8.839237
0.010000,0.019088,0.254878,8.714258
0.011000,0.018758,0.267047,8.584018
0.012000,0.018528,0.277571,8.435359
0.013000,0.018199,0.289411,8.282096
0.014000,0.017836,0.299936,8.129491
0.015000,0.017540,0.310789,7.962414
0.016000,0.017046,0.320985,7.783169
0.017000,0.016750,0.331509,7.604582
0.018000,0.016519,0.341376,7.425665
0.019000,0.016190,0.351901,7.225371
0.020000,0.015663,0.360781,7.024748
0.021000,0.015334,0.370319,6.822152
0.022000,0.014873,0.379856,6.619885
0.023000,0.014445,0.388079,6.393937
0.024000,0.014050,0.396959,6.173581
0.025000,0.013655,0.404852,5.955527
0.026000,0.013194,0.413074,5.720042
0.027000,0.012634,0.420639,5.484886
0.028000,0.012140,0.427546,5.251046
0.029000,0.011679,0.435110,5.018850
0.030000,0.011317,0.441359,4.760014
0.031000,0.010757,0.448595,4.511044
0.032000,0.010296,0.454844,4.264706
0.033000,0.009802,0.459119,4.011790
0.034000,0.009143,0.465697,3.746705
0.035000,0.008518,0.470959,3.487869
0.036000,0.007892,0.475564,3.234295
0.037000,0.007530,0.480168,2.960330
0.038000,0.006937,0.483457,2.691956
0.039000,0.005982,0.487075,2.429173
0.040000,0.004599,0.491022,2.165074
0.041000,0.004632,0.492995,1.880584
0.042000,0.004467,0.495297,1.608263
0.043000,0.001570,0.497599,1.340875
0.044000,0.005225,0.497599,1.058358
0.045000,0.002591,0.498257,0.772552
0.046000,0.004402,0.503848,0.510097
0.047000,0.001175,0.498915,0.232184
0.048000,-0.000044,0.499573,-0.064805
0.049000,0.005027,0.497271,-0.357847
0.050000,0.003480,0.500231,-0.623920
0.051000,0.001833,0.499244,-0.925514
0.052000,-0.004950,0.492995,-1.219215
0.053000,-0.003633,0.490035,-1.513903
0.054000,-0.004950,0.486417,-1.793791
0.055000,-0.005609,0.483128,-2.086834
0.056000,-0.006629,0.477537,-2.372643
0.057000,-0.007453,0.472933,-2.651874
0.058000,-0.008638,0.467341,-2.928803
0.059000,-0.009626,0.461093,-3.214941
0.060000,-0.010416,0.454844,-3.487924
0.061000,-0.011174,0.447279,-3.756960
0.062000,-0.011931,0.439386,-4.033561
0.063000,-0.012754,0.430177,-4.306545
0.064000,-0.013808,0.422283,-4.573609
0.065000,-0.014433,0.414061,-4.833437
0.066000,-0.015323,0.403208,-5.109053
0.067000,-0.015948,0.393012,-5.370198
0.068000,-0.016442,0.382488,-5.624107
0.069000,-0.017232,0.371963,-5.881306
0.070000,-0.017924,0.360452,-6.137847
0.071000,-0.018550,0.348283,-6.381233
0.072000,-0.019274,0.336443,-6.618041
0.073000,-0.019702,0.324274,-6.859125
0.074000,-0.020031,0.311776,-7.089356
0.075000,-0.020426,0.298291,-7.306430
0.076000,-0.020822,0.284807,-7.521532
0.077000,-0.021447,0.271651,-7.729398
0.078000,-0.021711,0.258167,-7.924766
0.079000,-0.022007,0.244353,-8.107637
0.080000,-0.021941,0.230869,-8.288533
0.081000,-0.022238,0.216398,-8.459892
0.082000,-0.022468,0.202913,-8.614806
0.083000,-0.022929,0.188113,-8.761169
0.084000,-0.022929,0.174299,-8.900953
0.085000,-0.022929,0.160157,-9.027910
0.086000,-0.022929,0.145028,-9.140396
0.087000,-0.022764,0.131215,-9.246304
0.088000,-0.022830,0.117072,-9.340042
0.089000,-0.022929,0.102601,-9.421611
0.090000,-0.022962,0.088788,-9.491339
0.091000,-0.022896,0.074645,-9.552844
0.092000,-0.022633,0.060174,-9.601851
0.093000,-0.022534,0.046032,-9.637044
0.094000,-0.022402,0.032218,-9.665659
0.095000,-0.022369,0.018734,-9.682104
0.096000,-0.022336,0.004592,-9.689340
0.097000,-0.022139,-0.008564,-9.685722
0.098000,-0.022073,-0.022049,-9.669277
0.099000,-0.021678,-0.036191,-9.643951
0.100000,-0.021546,-0.049676,-9.609745
0.101000,-0.021513,-0.062502,-9.566000
0.102000,-0.021151,-0.075987,-9.506468
0.103000,-0.021019,-0.088156,-9.442989
0.104000,-0.020723,-0.100654,-9.368328
0.105000,-0.020426,-0.113809,-9.283470
0.106000,-0.020130,-0.126636,-9.188416
0.107000,-0.019933,-0.138805,-9.088100
0.108000,-0.019834,-0.148343,-8.977588
0.109000,-0.019603,-0.162485,-8.853262
0.110000,-0.019175,-0.174325,-8.728278
0.111000,-0.018879,-0.185837,-8.595401
0.112000,-0.018484,-0.197677,-8.451341
0.113000,-0.018121,-0.208530,-8.296756
0.114000,-0.017990,-0.219055,-8.139869
0.115000,-0.017726,-0.230566,-7.980022
0.116000,-0.017397,-0.241090,-7.799783
