# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.000000,0.018429,-1.172512,6.902401
0.001000,0.018495,-1.161001,6.934632
0.002000,0.018462,-1.150148,6.959957
0.003000,0.018462,-1.138636,7.025077
0.004000,0.018594,-1.127454,7.062242
0.005000,0.018363,-1.115943,7.092171
0.006000,0.018495,-1.104760,7.121113
0.007000,0.018594,-1.092920,7.184589
0.008000,0.018726,-1.082067,7.220767
0.009000,0.018627,-1.070227,7.249709
0.010000,0.018660,-1.058716,7.286874
0.011000,0.018627,-1.047862,7.341798
0.012000,0.018693,-1.036022,7.375345
0.013000,0.018791,-1.024182,7.403301
0.014000,0.018627,-1.012671,7.445070
0.015000,0.018824,-1.001159,7.491114
0.016000,0.018923,-0.989648,7.522030
0.017000,0.018923,-0.978466,7.547355
0.018000,0.018758,-0.966955,7.593728
0.019000,0.018890,-0.955115,7.637800
0.020000,0.018890,-0.943603,7.667729
0.021000,0.019055,-0.931434,7.691409
0.022000,0.018890,-0.920581,7.738769
0.023000,0.019055,-0.909070,7.778893
0.024000,0.019121,-0.897229,7.806849
0.025000,0.018923,-0.885389,7.828885
0.026000,0.019252,-0.873878,7.878876
0.027000,0.019187,-0.862038,7.914396
0.028000,0.019219,-0.850198,7.941694
0.029000,0.019055,-0.838029,7.964717
0.030000,0.019154,-0.826847,8.013063
0.031000,0.019252,-0.815335,8.046281
0.032000,0.019351,-0.803495,8.070619
0.033000,0.019252,-0.791655,8.090353
0.034000,0.019318,-0.779815,8.140015
0.035000,0.019285,-0.767975,8.170931
0.036000,0.019252,-0.756135,8.195598
0.037000,0.019318,-0.744624,8.212700
0.038000,0.019417,-0.732455,8.263020
0.039000,0.019516,-0.720943,8.290976
0.040000,0.019450,-0.708445,8.312025
0.041000,0.019318,-0.696934,8.329456
0.042000,0.019384,-0.685094,8.379448
0.043000,0.019549,-0.673254,8.406417
0.044000,0.019483,-0.661414,8.426150
0.045000,0.019549,-0.649245,8.440950
0.046000,0.019582,-0.637734,8.491599
0.047000,0.019483,-0.624907,8.516924
0.048000,0.019483,-0.613396,8.535342
0.049000,0.019549,-0.601227,8.553760
0.050000,0.019713,-0.589716,8.598489
0.051000,0.019680,-0.577875,8.620525
0.052000,0.019713,-0.565378,8.636969
0.053000,0.019648,-0.553209,8.659991
