# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.000000,0.007201,-0.092431,2.677485
0.001000,0.009374,-0.086511,3.342829
0.002000,0.011119,-0.078947,3.991728
0.003000,0.012996,-0.070725,4.622538
0.004000,0.014609,-0.061516,5.232628
0.005000,0.016223,-0.050991,5.815749
0.006000,0.017771,-0.038822,6.360391
0.007000,0.018923,-0.027311,6.842214
0.008000,0.020043,-0.014813,7.264838
0.009000,0.020866,-0.001000,7.636813
0.010000,0.021557,0.012156,7.943010
0.011000,0.021722,0.025970,8.158433
0.012000,0.021920,0.039454,8.281767
0.013000,0.021755,0.053596,8.312354
0.014000,0.021557,0.066752,8.251180
0.015000,0.020965,0.079579,8.096602
0.016000,0.020076,0.092406,7.854538
0.017000,0.019219,0.104575,7.533870
0.018000,0.018166,0.115757,7.144464
0.019000,0.017112,0.125952,6.695529
0.020000,0.015729,0.135819,6.194301
0.021000,0.014313,0.144370,5.642096
0.022000,0.012831,0.151935,5.053712
0.023000,0.011350,0.159499,4.438031
0.024000,0.009736,0.165091,3.798341
0.025000,0.008090,0.170024,3.141548
0.026000,0.006674,0.173971,2.467982
0.027000,0.004566,0.176273,1.789482
0.028000,0.004896,0.180220,1.098154
0.029000,0.002261,0.174628,0.405839
0.030000,0.001438,0.176602,-0.286148
0.031000,0.001273,0.179891,-0.997870
0.032000,-0.002349,0.171668,-1.714198
0.033000,-0.007090,0.167722,-2.415728
0.034000,-0.008869,0.162130,-3.099170
0.035000,-0.010647,0.155224,-3.762551
0.036000,-0.012359,0.147659,-4.406858
0.037000,-0.013972,0.138779,-5.025513
0.038000,-0.015816,0.128912,-5.617201
0.039000,-0.017265,0.117072,-6.177315
0.040000,-0.018681,0.105561,-6.694017
0.041000,-0.019801,0.093063,-7.156123
0.042000,-0.020558,0.079908,-7.553107
0.043000,-0.021316,0.066094,-7.877733
0.044000,-0.021974,0.052610,-8.118819
0.045000,-0.022106,0.039125,-8.270115
0.046000,-0.022106,0.024983,-8.328002
0.047000,-0.021546,0.011169,-8.293796
0.048000,-0.021184,-0.001657,-8.168813
0.049000,-0.020558,-0.014813,-7.956012
0.050000,-0.020690,-0.026982,-7.662960
0.051000,-0.018582,-0.038164,-7.294590
0.052000,-0.017496,-0.049347,-6.860441
0.053000,-0.016179,-0.058884,-6.373997
0.054000,-0.014730,-0.068093,-5.839865
0.055000,-0.013479,-0.076973,-5.266266
0.056000,-0.012524,-0.084209,-4.661424
0.057000,-0.010581,-0.089800,-4.030601
0.058000,-0.008704,-0.095391,-3.376099
0.059000,-0.006893,-0.098351,-2.705812
0.060000,-0.006070,-0.102627,-2.023687
0.061000,-0.003402,-0.103614,-1.334327
0.062000,-0.006300,-0.111178,-0.650889
0.063000,0.000154,-0.104271,0.059845
0.064000,0.002492,-0.101969,0.776170
0.065000,0.004039,-0.100325,1.495454
0.066000,0.005949,-0.096378,2.195661
0.067000,0.007892,-0.090787,2.872516
0.068000,0.009670,-0.084867,3.533256
0.069000,0.011745,-0.076645,4.179195
0.070000,0.013490,-0.067436,4.801783
0.071000,0.015136,-0.058556,5.404637
0.072000,0.016618,-0.048031,5.978550
0.073000,0.018067,-0.036520,6.507404
0.074000,0.019219,-0.024022,6.969824
0.075000,0.020339,-0.010866,7.377647
0.076000,0.021096,0.002289,7.734822
0.077000,0.021524,0.016103,8.017010
0.078000,0.021985,0.029587,8.204149
0.079000,0.021887,0.043401,8.301172
0.080000,0.021821,0.056885,8.303474
0.081000,0.021459,0.071028,8.216318
0.082000,0.020734,0.083854,8.035757
0.083000,0.019911,0.095366,7.770342
0.084000,0.018923,0.107206,7.428954
0.085000,0.017836,0.118717,7.019486
0.086000,0.016618,0.128912,6.554107
0.087000,0.015630,0.138121,6.038408
0.088000,0.013984,0.146673,5.477980
0.089000,0.012502,0.154237,4.880387
0.090000,0.010790,0.160815,4.255826
0.091000,0.009242,0.166077,3.606927
0.092000,0.007760,0.170682,2.947503
0.093000,0.006608,0.173642,2.273608
0.094000,0.004105,0.177259,1.593463
0.095000,0.002920,0.177917,0.897860
0.096000,0.002393,0.179562,0.204557
0.097000,0.000220,0.172326,-0.504861
0.098000,-0.005609,0.171997,-1.212637
0.099000,-0.006794,0.170682,-1.917125
